Firm,Link,Description,Phone,Address
"Griffith, Little & Lowry, LLC",https://www.us-barassociation.org/firms/detail/bb0eaa3306acd23e,"The Zeb Little Law Firm, LLC assists clients throughout the state of Alabama who have suffered an injury in an accident, at the workplace, due to a defective product or drug, or because of medical malpractice. We also assist clients whose insurance companies have acted unfairly or in bad faith. To learn about all of the areas our practice encompasses, please see our practice areas overview.

At the Zeb Little Law Firm, LLC, we have practiced law in Cullman for over 15 years. Focusing exclusively on the representation of plaintiffs, our lawyers aggressively do everything they can to successfully recover the maximum amount to which our clients are entitled. Each case we take on is of equal importance to us, and receives the same dedication and personal attention. We stress the value of high-quality client service, maintaining open lines of communication, quickly returning calls, and responding promptly to all inquiries. We work on a contingency fee basis, meaning that you do not pay any legal fees unless and until we obtain recovery on your behalf.",Phone(s): (256) 775-7707,"The Griffith Building, 409 1st Avenue SW
Cullman, Alabama
35055"
Hall & Tucker,https://www.us-barassociation.org/firms/detail/c3c664e2c3189cae,"Do you have questions about a personal injury accident, a family law issue or a criminal charge? Turn to a Bessemer lawyer from Hall & Tucker, LLC, for trusted legal guidance. Our attorneys have more than 50 years of combined legal experience. We represent clients in Bessemer, Hoover, Hueytown, Pleasant Grove, McCalla, Fairfield, Brighton, Lipscomb, Mulga and other areas covered by the Bessemer Division of Jefferson County, Alabama.

Don L. Hall practiced law in Birmingham for 13 years before moving to Bessemer in 2003 to join forces with Tommy Tucker in the creation of a small law firm offering diverse legal services. After receiving his undergraduate degree in Public Administration and political science from Samford University in 1985, Hall earned his juris doctorate from the University of Alabama School of Law in 1989. He joined a Birmingham firm that combined plaintiff and defense work. He then left for a bigger firm, doing mostly civil litigation and becoming partner, before he and Tucker saw an opportunity to develop a new firm in Bessemer.

Tommy Tucker brings more than 30 years of experience to a law practice that focuses on criminal defense and family law. A native of Hueytown, Tucker received his undergraduate degree in political science and English at the University of Alabama in 1974. Three years later he earned his juris doctorate from Cumberland School of Law with cum laude honors. After practicing on his own for less than a year, he joined the Jefferson County District Attorney’s Office as a prosecutor in the agency’s Bessemer Division. He stayed there for nearly six years and then joined the U.S. Attorney’s office for the northern district of Alabama as an assistant U.S. attorney.",Phone(s): (205) 425-5711,"1616 Third Avenue North
Bessemer, Alabama
35020"
"Hall Booth Smith, P.C.",https://www.us-barassociation.org/firms/detail/fd9b362dbfb31b6e,"Hall Booth Smith, P.C. (HBS) is a leading law firm in the Southeastern United States. Established in 1980, our firm prides itself on comprehensive, cost-effective representation and a commitment to excellence in client service. We realize that our success is dependent on helping our clients be successful.

With six offices strategically located throughout Georgia, we are truly statewide, and our active regional offices in Nashville and Memphis, Tennessee; Charleston, South Carolina; Jacksonville and N. Palm Beach, Florida; Asheville and Charlotte, North Carolina; and Birmingham, Alabama position us to serve clients throughout the Southeast.

Representing individuals, businesses of all sizes in various industries, and government entities, HBS is a proactive law firm committed to our clients’ success and to the effective resolution of their legal challenges both domestically and internationally.

HBS is committed to a cohesive and productive workplace where our varied cultures, backgrounds, ethnicities, and perspectives are communicated, understood, and embraced to enrich our employees so that we can best serve our clients. The attorneys at HBS are well versed in many areas of law. Nationally and internationally, we offer our clients personal and professional expertise resulting from our own experience as local, state, and federal government officials; service in various branches of the military; and memberships and leadership in community, state, and federal committees. Our attorneys have extensive experience speaking and/or serving as panelists at industry related events, authoring articles and various white papers for industry and trade publications, conducting continuing legal education seminars, and serving on boards of professional industry and trade organizations.

HBS represents clients in a number of areas including: professional negligence, medical malpractice, legal malpractice, general casualty, environmental litigation, property litigation, commercial litigation, products liability, common carrier litigation, workers' compensation, subrogation, government law and before the state professional licensing boards. HBS understands the legal challenges our clients face and the various markets where they work. Our mission is to ethically and professionally serve our clients by providing the highest quality legal representation in a personally satisfying firm environment. Our promise is--Serving to Achieve Excellence.

The Best Lawyers in America
9 firm lawyers were named Best Lawyers in America in the 2014 guide.

Top Rated Lawyers
41 HBS lawyers were listed as AV® Preeminent™ Top Rated Lawyers by Martindale Hubbell- 2014.

Super Lawyers
11 firm lawyers were named as Super Lawyers & Rising Stars in the Super Lawyers 2014 guide.

U.S. News & World Report
HBS was named as one of the Best Law Firms by U.S. News & World Report.

Atlanta Business Chronicle
The Atlanta Business Chronicle listed HBS as the 7th fastest growing law firm by attorneys in 2012-2013, ranked the firm 19th in its list of the Top 50 Atlanta Law firms in 2012-2013 and listed it as among the Best Places to Work in 2013 and 2014.

National Association for Business Resources (NARB)
NABR named HBS as among Atlanta’s Best & Brightest Companies to Work For in 2013 and 2014.

Atlanta Journal Constitution (AJC)
HBS was selected by AJC as one of Atlanta’s “Best Places to Work” in 2008, 2010, 2011, 2012 and 2015. HBS received Honorable Mention in AJC’s 2013 list of “Top Workplaces”.

Client Advisor Awards
HBS received the Client Advisor Award as one of the top Midsize Professional Services Firms in 2013.

U.S. Top Ranked Law Firms
HBS was named as one of the 2015 Top Ranked Law firms by Martindale-Hubbell, featured in Fortune magazine, Corporate Counsel and The American Lawyer.",Phone(s): (205) 533-9650,"2001 Park Place North, Suite 870
Birmingham, Alabama
35203"
Hall Tanner & Hargett P.C.,https://www.us-barassociation.org/firms/detail/9e5f4cc450239dda,"Hall Tanner Hargett is a civil litigation law firm located in the North Alabama Quad-Cities region of Tuscumbia, Muscle Shoals, Florence and Sheffield. The firm regularly represents plaintiffs and defendants in a broad range of legal matters, including business litigation, estate and trust litigation, real estate and construction litigation, trucking and automobile accidents, personal injury and products liability, industrial and workplace accidents, employment litigation, medical negligence, nursing home abuse, wrongful death, and insurance and consumer fraud.

Attorneys Rick Hall, Mike Tanner, and Douglas Hargett graduated with academic distinction from their respective law schools and obtained substantial experience in large firms handling complex litigation. They use their collective experience, along with in-depth knowledge of the court systems and laws, to litigate cases at the local, regional and national levels.

Hall Tanner Hargett has successfully represented clients inside and outside the courtroom, with a dedication to providing a high quality of legal services. The firm is positioned to represent both individuals and businesses in the Tennessee Valley, as well as clients from around the country.",Phone(s): (256) 381-7750,"201 N Water St
Tuscumbia, Alabama
35674"
"Henry C. Dailey Jr., PC",https://www.us-barassociation.org/firms/detail/ff82ce6973cf411f,"Henry C. Dailey, Jr., is an attorney in Birmingham, Alabama, who gets tough on the people or businesses that injure his clients.

He has been protecting victims since 1987 and is AV-Rated® by Martindale-Hubbell® peer-review ratings, the highest recognition of excellence in legal practice and ethics an attorney can obtain.

He represents the people who need it most in personal injury law, including trucking accidents, motorcycle and ATV accidents, and workers’ compensation law. His main focus is catastrophic injuries and wrongful death.

He is a former member of the Alabama chapter of the United Steelworkers Union and knows that the impact an injury can have on the lives of people who rely on their physical capacity at work can be completely devastating.

He attended college and law school in Alabama, too, and uses his deep understanding of the Alabama way of life to craft and promulgate arguments that resonate with arbitrators, judges, and juries in the area.

Mr. Dailey created the law firm, Henry Dailey, Jr, P.C., based on the philosophy that people who cause catastrophic injuries need to be held responsible—but that individuals who are victims deserve respect and dignity as they encounter legal situations they never wanted to have happen.

Mr. Dailey believes that too often lawyers are unwilling to take on wrongdoers represented by huge insurance companies and law firms. His goal is to level the playing field and provide you with access to legal services and a level of representation previously available in the Birmingham area only to large corporations or those willing and able to work with giant firms.

From the courtroom to the capital, Mr. Dailey advocates hard for the fundamental rights important to you and your family. He belongs to and participates in organizations committed to speaking up for justice for individuals, families, and consumers in Alabama and puts his experience to work for each of his clients every day.",Phone(s): (205) 995-2412,"2217 Cahaba Valley Drive
Birmingham, Alabama
35242"
"Hill, Hill, Carter, Franco, Cole & Black, PC",https://www.us-barassociation.org/firms/detail/85327611a2304598,"Hill Hill Carter offers a full range of legal services, from business planning to complex litigation. The firm is centrally located in Alabama’s capital city and represents clients throughout the state and the Southeast.

Our goal is to provide sound, practical, and proactive advice to assist our clients in successful planning and avoiding litigation and other adversarial proceedings.

When litigation is necessary, we utilize a team approach with the client being an integral part of the team. Working with the client, we evaluate the underlying facts, analyze the legal merits, and develop a sound and true strategy. A prompt and successful resolution through mediation or arbitration, or when necessary, an expedient trial, is our goal.",Phone(s): (334) 834-7600,"425 South Perry Street
Montgomery, Alabama
36104"
"Holberg and Holberg, P.C.",https://www.us-barassociation.org/firms/detail/cfd2a749de5c4ba0,"Whether you have been injured in an accident, need strategic guidance in probate and estate administration, or are facing costly litigation threatening your business, you need an attorney's attentive guidance and support to help you overcome your legal challenges.

At Holberg and Holberg, P.C., in Mobile, Alabama, our father-son team of attorneys has acquired a strong reputation for competent representation, knowledge of the law and excellent service.

We are prepared to handle your complex legal matters and find effective solutions that allow you to move on with your life.",Phone(s): (251) 272-3782 or (888) 849-4011,"118 North Royal Street, Suite 804
Mobile, Alabama
36602"
"Huie, Fernambucq & Stewart, LLP",https://www.us-barassociation.org/firms/detail/8a180f4b7837a371,"Huie, Fernambucq & Stewart, LLP is one of the leading law firms in the Southeast. Since 1952, we have represented corporations and businesses in matters involving complex litigation.

The dedication of Huie, Fernambucq and Stewart to its clientele and the Firm's sense of community spirit are the legacies of founders Thomas B. Huie, William B. Fernambucq and Charles A. Stewart, Jr. The three founding partners were military veterans who partnered after service to the country for building a Birmingham law firm based on trial skills and legal professionalism. The current attorneys and staff members are proud to continue the work and commitment of the Firm's namesake lawyers.

The attorneys of Huie, Fernambucq and Stewart are diverse practitioners from a variety of home states. They have achieved landmark and precedent-setting victories in the areas of the Firm's comprehensive defense practice. Members of the Firm are consistently given high ratings by their peers and ranked among the best lawyers in the state and in the nation.",Phone(s): (205) 251-1193,"2801 Highway 280 South, Suite 200
Birmingham, Alabama
35223"
Jackson Lewis P.C.,https://www.us-barassociation.org/firms/detail/eec406fb02b65ea1,"Focused on labor and employment law since 1958, Jackson Lewis P.C.’s 950+ attorneys located in major cities nationwide consistently identify and respond to new ways workplace law intersects business. We help employers develop proactive strategies, strong policies and business-oriented solutions to cultivate high-functioning workforces that are engaged, stable and diverse, and share our clients' goals to emphasize inclusivity and respect for the contribution of every employee.

The foundation of our client service philosophy is to build strong relationships. We believe it is important to learn about each client’s particular industry, business and culture, with the goal of becoming an extension of their team.

At Jackson Lewis, we understand no legal issue can be viewed in isolation. Whether we are counseling clients on compliance strategies or defending a high-stakes lawsuit, we work with clients to devise an approach that fits with the company’s core values and culture. We also believe it is often most effective to meet with clients in person to better understand their particular issues, and our national footprint allows us to literally be where our clients need us most. In addition, our vast subject matter and industry-specific experience give us critical insight into the workplace law challenges our clients face on a daily basis. As a testament to our emphasis on client service, our firm earned a spot on the “BTI Power Elite” after being recognized by more than 500 corporate counsel as one of the top law firms in building and maintaining client relationships in the BTI Consulting Group’s 2014 Client Relationship Scorecard report.",Phone(s): (205) 332-3100,"Synovus Center, 800 Shades Creek Parkway Suite 870
Birmingham, Alabama
35209"
"Johnstone Carroll, LLC",https://www.us-barassociation.org/firms/detail/5d941682359b08d5,"Compassionate. Confident. Committed. You can’t afford to have anything less in your lawyer when you face a serious insurance dispute or a business lawsuit, or if you suffered an injury because of another party’s negligence.

Johnstone Carroll, LLC is not a typical law firm. We have earned professional recognition for successfully handling the most complex litigation matters across a full range of areas, including maritime injuries, insurance coverage and bad faith insurance disputes, business disputes, personal injury and wrongful death litigation, federal wage and hour violations, real estate disputes and consumer law violations. Attorneys Inge Johnstone and Matt Carroll have experience preparing and trying cases in federal and state courts throughout Alabama and have been published nationally.

Inge Johnstone and Matt Carroll believe in practicing law with integrity. They lead a dedicated professional staff that focuses on personalized service and responsive communication. From your initial free consultation through the final resolution of your case, you will work with an attorney who cares deeply about getting things right. You will be kept informed about the progress of your case and educated about legal maneuvers and decisions. When it comes time to make critical decisions, you will be armed with facts and a deep understanding of how the outcome will affect your future.",Phone(s): (205) 308-0260,"2204 Lakeshore Drive, Suite 303
Homewood, Alabama
35209"
"Junkin, Pearson, Harrison, Junkin & Pate LLC",https://www.us-barassociation.org/firms/detail/9eca97b1650e12a0,"Our law firm of Junkin, Pearson, Harrison, Junkin & Pate L.L.C. is a formidable force in the Tuscaloosa legal community, providing experienced accident and injury representation. We handle all aspects of personal injury law, automobile accident injury cases, as well as oil and gas litigation representation throughout Alabama. Our auto accident law firm serves each of our clients with personalized attention and care, while still providing aggressive successful strategies when our clients need it most. Our legal knowledge and acumen allow us to properly investigate, prepare, and win our personal injury and auto accident cases.",Phone(s): (205) 367-1901,"20 Tuscaloosa Avenue
Carrollton, Alabama
35447"
"King & Green, LLC",https://www.us-barassociation.org/firms/detail/110b2e65831f6cb4,"King & Green, LLC is located in Birmingham, Alabama and specializes in family law, personal injury, civil litigation and criminal law. The law firm of King & Green is dedicated to protecting the best interests of our clients throughout Birmingham and Blount County. Our firm has significant experience helping families in a variety of issues ranging from divorce and division of assets to child support and custody. No matter what area of family law you need assistance with, we will help ease your family’s burdens and help you create a better future.

At King & Green we have small-town values based on the core principles of respect, hard work, and a sense of community. We provide high-energy representation and a client-focused approach built on trust and honesty. We want to build a strong relationship with our clients and provide assistance in any way that we can. Whether you need help with family law, have suffered a personal injury, or need legal representation in civil litigation or criminal defense, King & Green, LLC can help you move forward with your life.",Phone(s): (205) 775-7531,"2737 Highland Avenue South
Birmingham, Alabama
35205"
Lasseter Law Firm PC,https://www.us-barassociation.org/firms/detail/d8cb82cb098093c0,"Lasseter Law Firm, P.C. is located in Birmingham, Alabama and serves clients throughout the state who have been harmed by police misconduct, police brutality, excessive force, shootings, jail medical negligence, false arrest, and prison abuse.

Alan Lasseter has been practicing law for more than 25 years and has developed a diverse background in civil litigation backed with extensive experience in the courtroom. He takes the time to listen to the details of clients’ situations and has achieved notable verdicts and settlements. Mr. Lasseter is admitted to the Alabama and U.S. District Courts for the Middle and Northern Districts of Alabama.

Lasseter Law Firm is dedicated to pursuing justice and working diligently to obtain exceptional results for clients.",Phone(s): (205) 438-6591,"2204 Lakeshore Drive, Suite 303
Birmingham, Alabama
35209"
Law Office of Frances Hoit Hollinger,https://www.us-barassociation.org/firms/detail/7c02d5dfa90b8f68,"Frances Hoit Hollinger, LLC is the legal practice of Mobile, AL based bankruptcy attorney Frances Hoit Hollinger providing debt relief services to clients throughout the surrounding cities and counties of Alabama. Mr. Hollinger is dedicated to providing his clients with the highest level of service as well as gives them the guidance they need at such a critical juncture of their lives.

Mr. Hollinger has assisted his clients with all types of debt relief services. He has successfully helped individual clients file for chapter 7 bankruptcy and chapter 13 bankruptcy. He also assists businesses filing for chapter 11 bankruptcy. In addition to bankruptcy services, Mr. Hollinger can also assist clients with debt negotiation and foreclosure defense.

Bankruptcy can have effects on more than just the person filing. Entire families and neighborhoods can feel the burden of debt. Mr. Hollinger has the experience and in-depth knowledge of bankruptcy law to assist his clients with even the most complex cases and help them keep as much of their assets as possible while eliminating their debts.",Phone(s): (251) 432-8878 or (877) 314-1933,"820B North Alston Street
Foley, Alabama
36535"
"Law Office of Zach Horsley, LLC",https://www.us-barassociation.org/firms/detail/85a3185b4771fca1,"Going through divorce and other family law matters can be some of the most emotionally draining legal processes you may ever experience. Family law issues are personal, complex, and incredibly sensitive, which is why it is essential to work with a compassionate, reliable, and skilled attorney. At my firm, the Law Office of Zach Horsley, LLC, I am devoted to helping clients find effective and practical solutions to their family law matters in a timely manner so they can move forward with their lives.

Due to my past experience working at a Public Defender's office, I possess the ability to take on even the most complex cases. Divorce can be a messy process, and I am prepared to fight for my clients in trial, if necessary. If the marriage can be dissolved through negotiation, I am also prepared to assist.

s seen above, I am knowledgeable about court proceedings and I am very comfortable with courtroom politics. As a hands-on lawyer, I recognize that the individuals I work with are going through a difficult time in their lives. I make sure each and every client is provided with compassion, honesty, and respect from the moment their case begins and throughout all proceedings. No two clients are going through the same situation, which is why I ensure each client gets the individualized attention and time they deserve.",Phone(s): (205) 417-1448,"1929 3rd Avenue North
Birmingham, Alabama
35203"
"Leitman, Siegal & Payne, P.C.",https://www.us-barassociation.org/firms/detail/3cf92587583eba76,"From the very beginning, we have built our practice by earning client loyalty every day. Our commitment, measured by daily performance and by our ability to satisfy changing client needs, helps us build long-term client relationships. Many of our clients have been with us for more than 20 years and a number from inception of our firm.

At Leitman, Siegal & Payne we offer clients the very best of legal environments – the caring, personal attention characteristic of smaller firms uniquely blended with the sophistication and knowledge base often associated with larger firms.

As we move forward, we wish to thank all of our many clients for your loyalty. We will continue to earn your trust and support every day by delivering superior value through excellent service that meets your changing needs. By so doing, we hope to further enrich our existing long-term relationships as we add new ones.",Phone(s): (205) 251-5900,"420 20th Street North, Suite 2000
Birmingham, Alabama
35203"
"Lightfood, Franklin & White, L.L.C.",https://www.us-barassociation.org/firms/detail/7039ab88c94f77ae,"Lightfoot, Franklin & White, LLC was founded on January 15, 1990, by eight litigation partners from the largest firm in Alabama, and we presently have over 60 lawyers. Our size allows us to provide for our clients the best of all worlds — the resources and technology of a nationwide firm, and the efficiency and individuality of a regional firm.

In order to concentrate on what we do best, our attorneys focus solely on civil litigation matters, with the exceptions of also assisting clients with environmental compliance advice, issues concerning white-collar crime, and conducting internal investigations. We handle all types of civil litigation in state and federal courts across the United States, and our primary areas of practice include commercial disputes, product liability, antitrust, consumer fraud, appeals, intellectual property, catastrophic personal injury and death, environmental/toxic torts, class actions, professional malpractice, securities fraud, employment and communications.",Phone(s): (205) 581-0700,"400 20th Street North
Birmingham, Alabama
35203"
Littler Mendelson P.C.,https://www.us-barassociation.org/firms/detail/aab5c4d63d6e0393,"Littler Mendelson is the largest U.S.-based law firm exclusively devoted to representing management in every aspect of labor and employment law. The firm’s single focus on employment and labor law has created a cartel of attorneys whose knowledge of and experience in these areas of law is unsurpassed. With lawyers who practice in more than 36 areas of law, there is no employment issue a company has faced that hasn’t been addressed by one of Littler’s attorneys.

Since the firm was started in 1942 by Robert Littler, who chose to represent management clients in what were mostly disputes involving unions, Littler has adhered to and expanded its continuous representation of corporate America, and the global reach those companies have realized, in all areas of employment and labor law.

Littler attorneys are dedicated to incomparable client service. Littler has a Knowledge Management group whose attorneys harness the collective knowledge of the firm and provide that knowledge to clients through tools, products and services that are available 24 hours per day, seven days a week. This allows Littler to provide up-to-the-minute information on changes in the employment law arena and give clients the information and tools they need to respond to those changes.

Littler attorneys have deep subject matter expertise in employment law matters that companies have faced for decades, as well as emerging issues that are only now beginning to surface. The rules of discovery in litigation have expanded to include electronic means of communication, including email, voice mail, text messages and instant messaging. Littler is one of few firms which has an eDiscovery practice to help clients navigate the rules which govern the preservation and admission of this evidence at trial.",Phone(s): (251) 432-2477,"Riverview Plaza, 63 South Royal Street, Suite 901
Mobile, Alabama
36602"
Luckey & Mullins PLLC,https://www.us-barassociation.org/firms/detail/948178ab136540f4,"The law office of Luckey & Mullins is committed to delivering outstanding service to individuals and small businesses throughout the personal injury litigation process. This has allowed our office, through the use of modern, state-of-the-art resources and a dedicated and knowledgeable staff, to be able to recover over $200 million on behalf of our clients to date and receive record setting verdicts like Cosey v. Bullard, et al. Hence, we are able to remain on the cutting edge of personal injury litigation and represent thousands of clients while also maintaining professional and personal relationships with them.

We have offices located on the Mississippi Gulf Coast in Ocean Springs, and in Mobile, Alabama, as well as affiliated offices in Jackson and New Orleans. This gives us a great geographical presence in the central Gulf south. Additionally, our office has personal injury attorneys who are licensed to practice not only in Mississippi, but in Louisiana and Alabama as well.

From simple tort negligence cases to complex mass tort litigation (Occupational Disease and Personal Injury), our personal injury firm has developed an excellent reputation by representing thousands of Plaintiffs throughout Mississippi and the surrounding areas and taking care of their needs.

Whether your needs are large or small, we are dedicated to providing quality legal services without the bureaucracy of a large firm. If you need additional information, please do not hesitate to contact us to discuss your special needs or concerns.

We have represented and continue to represent thousands of injured workers in a number of common occupational exposure cases that include the issues surrounding Chinese drywall.",Phone(s): (251)-300-3175,"209 North Joachim Street
Mobile, Alabama
36603"
"Mark A. Jackson, PC",https://www.us-barassociation.org/firms/detail/dfc8686760003504,"Mark A. Jackson, P.C. represents accident victims throughout northern Alabama in personal injury claims involving motor vehicle accidents, wrongful deaths, slips and falls, dog bites, workplace and construction accidents, nursing home abuse, and defective products. Our attorneys have extensive experience helping clients recover compensation after an accident caused by an uninsured or underinsured driver.

For over 20 years, attorney Mark A. Jackson has devoted his legal practice to helping injured victims and their families receive fair and proper compensation for their losses. Today, he has handled more than 1,000 cases, both through settlement and trial. His determination to help his clients recover to the full extent possible under the law has resulted in many verdicts and settlements exceeding $1 million. As a life-long resident of Huntsville/Madison County, Mr. Jackson's goal is to yield many years of satisfied clients by continuing to build on his solid reputation in the local community.

Putting our clients' needs first, this firm does not charge an hourly rate for services. Rather, we work on a contingency fee basis, meaning that you do not pay attorney's fees until you recover compensation.",Phone(s): (256) 533-5306 or (800) 495-5297,"525 Madison Street
Huntsville, Alabama
35801"
"Marks & Associates, PC",https://www.us-barassociation.org/firms/detail/77c3bc20b4638061,"Marks & Associates is a business law firm based in Birmingham, Alabama providing legal services to clients throughout the surrounding areas of Alabama. The firm has extensive knowledge and experience of business law with a special regard to equipment financing. The firm’s attorneys have over half a century of legal experience between them, and have earned the respect of their clients and colleagues as a direct result of their professionalism and commitment to service.

The attorneys at Marks & Associates are focused primarily on the area of equipment financing and leasing. Financing or leasing equipment is a regular challenge that nearly all business owners face at one time or another (and usually, more than just once). They have assisted their clients with finance agreements, loan financing, large/medium/small ticket leasing transactions, vendor lease programs, debt funding and portfolio acquisition, and much more. The also assist clients with matters of creditor’s rights and bankruptcy, dispute resolution, and general business and commercial law.

The challenges facing a business owner, whether you’re a mom-and-pop shop or a large conglomerate or corporation, are multi-faceted and complex. Having an experienced and knowledgeable business attorney, such as those at Marks & Associates, can be one of the best assets you have. They can help you save a lot of time, trouble – and most importantly, money – when you are seeking to purchase or lease equipment for your business. They also provide a framework of legal support for a variety of other important business matters. No matter what your business concerns may be, Marks & Associates is here to help your business grow.",Phone(s): (205) 251-8301,"505 20th Street, North, Suite 1615
Birmingham, Alabama
35202"
"Marsh, Rickard & Bryan, PC",https://www.us-barassociation.org/firms/detail/851d37eb3e6f2581,"Marsh, Rickard & Bryan, P.C. is a firm of experienced trial lawyers. Our firm focuses on representing plaintiffs in cases throughout Alabama that involve wrongful death, catastrophic injury and other matters involving significant damages. Since 1996, our firm has served as a fierce advocate for the rights and interests of our clients. Due to our experience, skill and record of success, our peers recognize the legal team at Marsh, Rickard & Bryan as a force in and out of the courtroom. To the people we serve, we are known for our dedication to service and our pursuit of justice.

Lawyer David H. Marsh has assembled an experienced and gifted team of lawyers to counsel clients in a comprehensive list of practice areas. Whether you were involved in an accident with a truck, or were injured by a machine or product, the team of attorneys at Marsh Rickard & Bryan, P.C., has the necessary resources and commitment to work up your case and take it to trial. Their lawyers, investigators, and other support staff use their significant technical library and expert witness bank to enable them to evaluate cases and thoroughly prepare for court.

Recognizing the powerful impact visual evidence can have at trial and at mediation, the law firm of Marsh Rickard & Bryan, P.C., uses cutting-edge visual presentation methods, such as ""Sanction,"" and ""Case Map"" to help fortify their cases. The lawyers' ability to use illustrations, photos, graphs, and timelines to explain complicated concepts and confusing chains of events is a powerful tool in the courtroom. If you have suffered catastrophic injuries as a result of a wreck with an 18-wheeler, or lost a loved one to an on-the-job injury, Marsh Rickard & Bryan, P.C. can put their experienced and accomplished team of trial attorneys to work for you.",Phone(s): (205) 879-1981,"800 Shades Creek Parkway, Suite 600-D
Birmingham, Alabama
35209"
"Martin & Helms, P.C.",https://www.us-barassociation.org/firms/detail/9d743aea642f9dcc,"Martin & Helms, P.C. is a personal injury firm serving clients throughout Alabama with offices in Huntsville and Decatur. Practice areas include car and truck accidents, motorcycle accidents, slip and fall accidents, catastrophic injuries, construction accidents, product and premises liability, nursing home abuse and neglect, fire and explosion injuries, worker’s compensation, insurance disputes, and wrongful death.

Clay Martin and Tara Helms have more than 45 combined years of legal experience and offer one-on-one counsel. They listen to what clients want, offer honest and practical guidance about what options are available, and create a personal strategy designed to achieve their goals.

Taking each case personally, Martin & Helms handles every claim with a focus on clients’ best interests. Whether through negotiation, arbitration, or litigation, the legal team is dedicated to achieving the best possible outcomes will skilled advocacy.",Phone(s): (256) 539-1990,"401 Holmes Avenue NE, Suite C
Huntsville, Alabama
35801"
"Martinson & Beason, PC",https://www.us-barassociation.org/firms/detail/b2185e2faa2529f6,"Martinson & Beason, P.C. is primarily a personal injury firm located in Hunstville, Alabama and serving clients throughout the state since 1937.",Phone(s): (256) 533-1667 or (800) 255-6534,"115 Northside Square
Huntsville, Alabama
35801"
"Mastando & Artrip, LLC",https://www.us-barassociation.org/firms/detail/c18f9c08e6058ebb,"Mastando & Artrip LLC is a premier Huntsville, Alabama law firm established in 2011 by skilled attorneys with experience in business, government, negligence, and class actions. The firm's team has a proven success record in car and truck accident litigation, personal injury and product liability, nursing home abuse, wrongful death, with additional expertise in real estate law, workplace litigation, and whistle-blower rewards and protection.

At Mastando & Artrip your case will receive the kind of personalized attention that you require. From the halls of the United States Congress to the county courthouse, no case is too big or too small. Mastando & Artrip offer the experience you need for legal representation. Your case will be overseen by a team of accomplished and experienced attorneys. We are big enough to get the job done right and small enough to care about the outcome.

With more than fifty years of diverse legal experience, the attorneys in our office are dedicated to providing innovative and quality legal representation to both individuals and businesses. Featuring cost-effective representation as well as personal attention, Mastando & Artrip gives you the expertise of a large law firm and the personal attention of a small company.",Phone(s): (256) 532-2222 or (800) 434-7195,"301 Washington Street Northwest, Suite 302
Huntsville, Alabama
35801"
Maynard Cooper & Gale,https://www.us-barassociation.org/firms/detail/7d6f1218709d48f4,"Maynard, Cooper & Gale, P.C. was founded in Birmingham, Alabama, in 1984. With over 180 attorneys, Maynard, Cooper & Gale is one of the largest law firms in Alabama.",Phone(s): (334) 262-2001,"445 Dexter Avenue, RSA Dexter Avenue Building, Suite 8040
Montgomery, Alabama
36104"
Maynard Cooper & Gale,https://www.us-barassociation.org/firms/detail/41a2d9d88d3081a5,"Maynard, Cooper & Gale, P.C. was founded in Birmingham, Alabama, in 1984. With over 180 attorneys, Maynard, Cooper & Gale is one of the largest law firms in Alabama.",Phone(s): (256) 551-0171,"655 Gallatin Street
Huntsville, Alabama
35801"
McGlinchey Stafford PLLC,https://www.us-barassociation.org/firms/detail/e199debef56d39b2,"McGlinchey Stafford was founded, four decades ago, with the intent of providing alternatives to staid legal approaches. Instead of being bound by convention and tradition, we focus on our clients’ businesses to innovate and customize solutions to their legal challenges. From Fortune 5 to Fortune 500 companies, governmental authorities, industrial leaders, entrepreneurial organizations and pioneers, we provide clients with the highest level of attention and service. We call it practicing where business and law intersect.

Since opening our doors in 1974 in New Orleans, the firm has expanded to 15 offices that are strategically aligned to most effectively meet our clients’ needs. Now, lawyers operate from offices in Alabama, California, Florida, Louisiana, Massachusetts, Mississippi, New York, Ohio, Tennessee, Texas, and Washington, DC, with capacity to represent clients in matters in all 50 states and internationally.

McGlinchey Stafford supports numerous philanthropic causes of interest to firm members throughout all our offices. During the holiday season, when need is often at its greatest, we seek to make a significant impact and express our appreciation of clients with a major charitable donation. Our gift tradition of charitable holiday giving is warmly welcomed by clients who share our commitment to improving lives in need. Recent recipients of McGlinchey Stafford’s holiday donations include the ALS Association, the American Lung Association, City Year, CASA (Court Appointed Special Advocates), Feeding America, Teach for America, and the Boys & Girls Club of New Orleans’ Katrina Relief Fund.",Phone(s): (205) 725-6400,"505 20th Street North, Suite 800
Birmingham, Alabama
35203"
